dr_no,date_occ,mocodes,latitude,longitude
SYN-PDO-053,2022-12-10T00:00:00.000,3028 0420 4027 3401,34.059,-118.2528
SYN-PDO-054,2023-08-18T00:00:00.000,4001 3101 3028 3036,34.0612,-118.2912
SYN-PDO-055,2019-07-11T00:00:00.000,3401 4027 1822 3028,34.057,-118.2475
SYN-PDO-056,2020-10-19T00:00:00.000,3028 0301 4002 3036,34.054,-118.2455
SYN-PDO-057,2021-06-18T00:00:00.000,4027 3028 1822 4001,34.054,-118.252
SYN-PDO-058,2022-04-19T00:00:00.000,1819 3101 4001 3028,34.048,-118.238
SYN-PDO-059,2023-07-13T00:00:00.000,1822 3028 1819 0301,34.048,-118.238
SYN-PDO-060,2019-09-19T00:00:00.000,4002 3701 3034 3028,34.053,-118.244
SYN-MIX-001,2020-07-28T00:00:00.000,3036 3027 3401 4002 3034,34.053,-118.244
SYN-MIX-002,2021-11-28T00:00:00.000,4001 0301 3701 3028 4002,34.053,-118.245
SYN-MIX-003,2022-04-24T00:00:00.000,4001 3026 3034,34.0533,-118.251
SYN-MIX-004,2023-01-02T00:00:00.000,3026 3401 1822 3004,34.0533,-118.251
SYN-MIX-005,2019-10-22T00:00:00.000,1819 3036 3026,34.057,-118.2545
SYN-MIX-006,2020-08-19T00:00:00.000,3028 3101 4002,34.0612,-118.2912
SYN-MIX-007,2021-08-10T00:00:00.000,3026 4027 3034 4002 3036,34.0535,-118.2434
SYN-MIX-008,2022-05-07T00:00:00.000,3028 4002 3034 1819,34.058,-118.253
SYN-MIX-009,2023-05-01T00:00:00.000,3401 0344 4001 3004 3028,34.048,-118.238
SYN-MIX-010,2019-04-21T00:00:00.000,0344 3028 3401,34.054,-118.252
SYN-MIX-011,2020-11-21T00:00:00.000,1822 3028 3401,34.055,-118.2445
SYN-MIX-012,2021-03-03T00:00:00.000,4001 0420 3028 3701,34.056,-118.247
SYN-MIX-013,2022-06-17T00:00:00.000,1819 3401 3028 4002 3036,34.055,-118.2445
SYN-MIX-014,2023-04-28T00:00:00.000,4027 4001 0420 3028 0301,34.053,-118.244
SYN-MIX-015,2019-06-22T00:00:00.000,0301 0344 4001 3024 3401,34.058,-118.253
SYN-MIX-016,2020-09-11T00:00:00.000,3026 3101 1822 0301 3034,34.055,-118.2445
SYN-MIX-017,2021-05-16T00:00:00.000,3034 3024 3101,34.054,-118.2436
SYN-MIX-018,2022-12-23T00:00:00.000,3036 0344 4001 3025 0420,34.049,-118.239
SYN-MIX-019,2023-01-23T00:00:00.000,4002 3028 1822 3101,34.061,-118.2925
SYN-MIX-020,2019-09-21T00:00:00.000,4001 3401 3028 3004,34.054,-118.252
SYN-MIX-021,2020-11-20T00:00:00.000,1822 3024 3004,34.053,-118.2425
SYN-MIX-022,2021-10-07T00:00:00.000,1819 3028 1822,34.058,-118.248
SYN-MIX-023,2022-04-11T00:00:00.000,0344 1822 3028,34.054,-118.2455
SYN-MIX-024,2023-03-18T00:00:00.000,1822 3036 3034 3028,34.053,-118.244
SYN-MIX-025,2019-06-01T00:00:00.000,3004 3401 3024,34.051,-118.241
SYN-MIX-026,2020-08-15T00:00:00.000,4027 3026 0344 3034,34.0542,-118.2433
SYN-MIX-027,2021-12-26T00:00:00.000,4002 3401 4027 0301 3028,34.054,-118.2436
SYN-MIX-028,2022-12-15T00:00:00.000,3034 3024 3701,34.059,-118.2528
SYN-MIX-029,2023-10-21T00:00:00.000,3027 3701 4027 0420 4001,34.061,-118.2925
SYN-MIX-030,2019-11-21T00:00:00.000,3026 3101 4002 4001 0420,34.0538,-118.2438
SYN-MIX-031,2020-06-14T00:00:00.000,3026 3701 3401 0301,34.0538,-118.2438
SYN-MIX-032,2021-07-04T00:00:00.000,0420 4027 3036 3701 3024,34.0542,-118.2433
SYN-MIX-033,2022-07-28T00:00:00.000,3004 0344 1822 3026 3401,34.057,-118.2475
SYN-MIX-034,2023-02-12T00:00:00.000,0344 3025 3034 3401 3701,34.0612,-118.2912
SYN-MIX-035,2019-12-09T00:00:00.000,3028 3036 3401,34.049,-118.239
SYN-MIX-036,2020-01-06T00:00:00.000,0301 3028 0344,34.054,-118.252
SYN-MIX-037,2021-02-24T00:00:00.000,3026 4002 1822 3101 4001,34.0535,-118.2434
SYN-MIX-038,2022-10-20T00:00:00.000,3004 3036 3028,34.057,-118.2475
SYN-MIX-039,2023-08-22T00:00:00.000,0344 3028 4002 1819,34.061,-118.2925
SYN-MIX-040,2019-06-14T00:00:00.000,3028 3401 0301,34.0538,-118.2438
SYN-MIX-041,2020-04-13T00:00:00.000,3025 1819 3101 3401 3004,34.054,-118.2436
SYN-MIX-042,2021-12-14T00:00:00.000,3036 3024 4001,34.059,-118.2528
SYN-MIX-043,2022-06-03T00:00:00.000,0420 1819 3026 3004,34.058,-118.248
SYN-MIX-044,2023-06-19T00:00:00.000,4001 3028 0344 0420,34.053,-118.245
SYN-MIX-045,2019-10-15T00:00:00.000,3025 1822 3034 4001 3701,34.0617,-118.2916
SYN-MIX-046,2020-05-24T00:00:00.000,3101 3036 3701 3025,34.053,-118.245
SYN-MIX-047,2021-06-12T00:00:00.000,0301 3101 3036 1819 3024,34.055,-118.2445
SYN-MIX-048,2022-11-03T00:00:00.000,3024 0301 1822,34.057,-118.2475
SYN-MIX-049,2023-10-15T00:00:00.000,1822 0344 3028 1819 0301,34.057,-118.2475
SYN-MIX-050,2019-05-26T00:00:00.000,3701 3004 0344 3025,34.053,-118.2425
SYN-MIX-051,2020-05-03T00:00:00.000,3034 3024 1819 0344 0420,34.054,-118.252
SYN-MIX-052,2021-04-11T00:00:00.000,4027 3004 4002 3026 3036,34.053,-118.2425
SYN-MIX-053,2022-04-23T00:00:00.000,3024 4027 1822 4002,34.054,-118.2436
SYN-MIX-054,2023-07-25T00:00:00.000,3004 0301 3028 0344,34.056,-118.254
SYN-MIX-055,2019-05-09T00:00:00.000,1819 0344 3036 3026 0301,34.056,-118.254
SYN-MIX-056,2020-11-23T00:00:00.000,3028 4001 3034 0344 3036,34.0533,-118.251
SYN-MIX-057,2021-12-27T00:00:00.000,1819 0301 3028 4027 3034,34.049,-118.239
SYN-MIX-058,2022-08-07T00:00:00.000,1819 3036 3024,34.0535,-118.2515
SYN-MIX-059,2023-09-25T00:00:00.000,3028 4027 3004 1819 0420,34.0538,-118.2438
SYN-MIX-060,2019-12-25T00:00:00.000,3036 4002 1822 0420 3024,34.054,-118.2455
SYN-MIX-061,2020-05-25T00:00:00.000,3101 3028 4027 4002 1822,34.052,-118.242
SYN-MIX-062,2021-08-25T00:00:00.000,1822 4001 3026 4027,34.058,-118.253
SYN-MIX-063,2022-05-02T00:00:00.000,3701 4027 4002 3028 3034,34.053,-118.244
SYN-MIX-064,2023-08-17T00:00:00.000,1819 4001 3028,34.061,-118.2925
SYN-MIX-065,2019-06-01T00:00:00.000,4027 3004 3028 4001,34.055,-118.2445
SYN-MIX-066,2020-04-01T00:00:00.000,3034 0301 3028 0420,34.054,-118.252
SYN-MIX-067,2021-08-23T00:00:00.000,3027 0420 1822,34.054,-118.2455
SYN-MIX-068,2022-02-01T00:00:00.000,3036 3101 3028 4027,34.055,-118.2445
SYN-MIX-069,2023-04-14T00:00:00.000,1822 3034 0344 4002 3024,34.054,-118.2436
SYN-MIX-070,2019-04-23T00:00:00.000,4001 3401 3028,34.051,-118.241
SYN-MIX-071,2020-11-22T00:00:00.000,4027 3701 3025,34.0617,-118.2916
SYN-MIX-072,2021-11-13T00:00:00.000,3004 3401 3025 0420,34.054,-118.2436
SYN-MIX-073,2022-02-25T00:00:00.000,3036 0420 3701 1822 3026,34.053,-118.2425
SYN-MIX-074,2023-11-15T00:00:00.000,0301 4002 0420 3036 3028,34.0617,-118.2916
SYN-MIX-075,2019-01-11T00:00:00.000,4001 3024 4027 1819,34.055,-118.2445
